"id";"Gender";"Age";"Driving_License";"Region_Code";"Previously_Insured";"Vehicle_Age";"Vehicle_Damage";"Annual_Premium";"Policy_Sales_Channel";"Vintage";"Response"
14257;"Male";24;1;2;0;"< 1 Year";"No";32942;152;148;0
14258;"Male";52;1;6;0;"1-2 Year";"Yes";27930;26;181;1
14259;"Male";23;1;15;1;"< 1 Year";"No";2630;151;274;0
14260;"Male";67;1;29;0;"1-2 Year";"Yes";2630;26;245;0
14261;"Male";30;1;28;0;"1-2 Year";"Yes";25619;26;153;1
14262;"Female";48;1;46;0;"1-2 Year";"Yes";24456;26;28;0
14263;"Male";21;1;41;1;"< 1 Year";"Yes";34390;160;81;0
14264;"Female";21;1;30;1;"< 1 Year";"No";49262;152;196;0
14265;"Male";99;1;28;0;"1-2 Year";"Yes";37475;26;42;0
14266;"Male";49;1;0;1;"1-2 Year";"No";2630;26;226;0
14267;"Male";27;1;47;1;"< 1 Year";"No";27516;26;299;0
14268;"Male";34;1;6;0;"1-2 Year";"Yes";32336;157;145;1
14269;"Female";23;1;8;1;"< 1 Year";"No";41687;152;152;0
14270;"Male";50;1;28;0;"1-2 Year";"Yes";40643;26;99;1
14271;"Female";24;1;36;1;"< 1 Year";"No";31789;152;190;0
14272;"Female";47;1;48;0;"1-2 Year";"No";2630;124;131;0
14273;"Male";54;1;45;1;"1-2 Year";"No";2630;160;203;0
14274;"Male";30;1;28;0;"< 1 Year";"Yes";66901;26;216;0
14275;"Female";47;1;12;0;"1-2 Year";"Yes";2630;154;187;0
14276;"Male";46;1;33;0;"1-2 Year";"Yes";14267;124;254;0
14277;"Female";60;1;28;0;"1-2 Year";"Yes";38038;122;292;0
14278;"Female";49;1;33;0;"1-2 Year";"Yes";24979;26;76;1
14279;"Male";72;1;8;0;"1-2 Year";"Yes";21297;124;111;1
14280;"Female";24;1;2;0;"< 1 Year";"Yes";30048;152;111;1
14281;"Male";24;1;6;1;"< 1 Year";"No";24349;152;25;0
14282;"Male";78;1;37;1;"1-2 Year";"No";31793;26;190;0
14283;"Male";39;1;28;1;"1-2 Year";"No";32607;60;290;0
14284;"Male";65;1;8;0;"1-2 Year";"Yes";38513;156;269;1
14285;"Female";30;1;28;0;"1-2 Year";"Yes";39389;26;31;1
14286;"Male";70;0;28;0;"> 2 Years";"No";37579;124;197;0
14287;"Female";24;1;10;1;"< 1 Year";"No";37283;152;222;0
14288;"Male";55;1;4;0;"1-2 Year";"Yes";19225;124;165;0
14289;"Male";35;1;28;0;"> 2 Years";"Yes";47285;26;204;0
14290;"Male";24;1;33;1;"< 1 Year";"No";28851;152;43;0
14291;"Female";21;1;11;1;"< 1 Year";"No";33922;160;244;0
14292;"Male";25;1;41;0;"< 1 Year";"Yes";37074;152;97;0
14293;"Female";35;1;18;1;"1-2 Year";"No";22828;131;169;0
14294;"Female";23;1;11;0;"< 1 Year";"Yes";32451;152;1206;0
14295;"Female";44;1;28;0;"1-2 Year";"Yes";26763;124;220;0
14296;"Female";47;1;28;1;"1-2 Year";"No";47086;124;281;0
14297;"Male";54;1;21;0;"1-2 Year";"Yes";2630;124;172;0
14298;"Female";38;1;28;0;"1-2 Year";"Yes";32964;154;271;1
14299;"Male";42;0;28;0;"1-2 Year";"No";42429;26;203;0
14300;"Male";21;1;36;1;"< 1 Year";"No";34190;160;153;0
14301;"Female";56;1;28;0;"1-2 Year";"Yes";54861;26;105;1
14302;"Male";23;1;11;1;"< 1 Year";"No";25771;152;285;0
14303;"Female";27;1;13;1;"< 1 Year";"No";2630;152;162;0
14304;"Male";40;1;28;0;"1-2 Year";"No";26739;124;100;0
14305;"Male";25;1;40;0;"< 1 Year";"Yes";33022;152;252;0
14306;"Male";30;1;35;0;"1-2 Year";"Yes";24963;156;140;0
14307;"Male";47;1;28;0;"1-2 Year";"Yes";41671;122;75;0
14308;"Male";22;1;41;0;"< 1 Year";"Yes";63997;152;59;0
14309;"Female";51;1;28;0;"1-2 Year";"Yes";32927;30;50;1
14310;"Female";64;1;28;0;"1-2 Year";"Yes";62388;26;185;1
14311;"Male";21;1;9;0;"< 1 Year";"Yes";47634;152;91;1
14312;"Female";26;1;44;1;"< 1 Year";"No";33451;152;209;0
14313;"Female";34;0;28;0;"1-2 Year";"No";49311;157;34;0
14314;"Male";54;1;28;0;"1-2 Year";"Yes";32567;26;448;0
14315;"Male";51;0;36;0;"1-2 Year";"No";2630;155;229;0
14316;"Male";46;0;28;0;"1-2 Year";"No";40920;26;163;0
14317;"Male";55;1;28;0;"> 2 Years";"Yes";27273;124;151;0
14318;"Female";48;1;30;1;"1-2 Year";"No";2630;152;68;0
14319;"Female";66;1;36;0;"> 2 Years";"Yes";2630;157;151;0
14320;"Male";20;1;17;1;"< 1 Year";"No";29494;160;218;0
14321;"Male";61;1;17;0;"1-2 Year";"Yes";50850;26;282;0
14322;"Female";27;1;33;1;"< 1 Year";"No";27562;152;62;0
14323;"Female";43;1;35;0;"1-2 Year";"Yes";27670;124;28;1
14324;"Male";23;1;35;0;"< 1 Year";"Yes";25074;152;3260;1
14325;"Male";84;1;8;0;"1-2 Year";"Yes";39369;156;136;1
14326;"Female";25;0;23;0;"< 1 Year";"No";33236;26;93;0
14327;"Male";26;1;8;1;"< 1 Year";"No";45535;152;210;0
14328;"Male";32;0;11;0;"1-2 Year";"No";23057;156;110;0
14329;"Male";52;0;28;0;"1-2 Year";"No";46796;26;194;0
14330;"Male";78;1;28;0;"1-2 Year";"Yes";59315;163;296;0
14331;"Female";35;1;28;0;"1-2 Year";"Yes";34029;122;276;0
14332;"Male";23;1;18;1;"< 1 Year";"No";21233;152;266;0
14333;"Male";47;1;22;1;"1-2 Year";"No";23295;26;170;0
14334;"Female";56;1;41;1;"1-2 Year";"No";30624;152;149;0
14335;"Female";36;1;28;0;"1-2 Year";"Yes";21601;152;211;1
14336;"Female";21;1;30;1;"< 1 Year";"No";26260;152;123;0
14337;"Male";49;1;41;0;"1-2 Year";"Yes";29471;26;99;0
14338;"Female";57;0;38;0;"1-2 Year";"No";25402;26;164;0
14339;"Female";25;1;21;1;"< 1 Year";"No";30727;152;87;0
14340;"Male";50;1;23;0;"1-2 Year";"No";2630;26;277;0
14341;"Female";30;0;28;0;"< 1 Year";"No";39875;124;148;0
14342;"Female";31;1;46;0;"< 1 Year";"Yes";18870;26;3780;0
14343;"Male";46;1;29;0;"1-2 Year";"Yes";31886;124;251;1
14344;"Female";24;1;41;1;"< 1 Year";"No";21938;152;217;0
14345;"Female";41;1;8;1;"1-2 Year";"No";44436;26;144;0
14346;"Female";28;1;28;0;"< 1 Year";"Yes";35952;121;85;1
14347;"Male";73;0;37;0;"1-2 Year";"Yes";15018;26;103;0
14348;"Female";29;1;28;1;"< 1 Year";"No";51384;152;1938;0
14349;"Female";35;1;28;0;"1-2 Year";"Yes";38412;124;231;0
14350;"Male";66;1;41;0;"> 2 Years";"Yes";38264;124;250;1
14351;"Male";29;1;28;0;"1-2 Year";"Yes";35397;26;258;1
14352;"Female";47;1;28;0;"1-2 Year";"Yes";39279;124;128;1
14353;"Female";27;1;37;0;"< 1 Year";"Yes";36721;151;25;0
14354;"Female";24;1;27;0;"< 1 Year";"No";25824;151;237;0
14355;"Male";57;1;8;0;"1-2 Year";"Yes";32008;124;31;1
14356;"Male";45;1;28;1;"1-2 Year";"No";50447;26;39;0
14357;"Male";57;1;7;0;"1-2 Year";"Yes";2630;124;144;1
14358;"Male";28;1;8;1;"< 1 Year";"No";36963;152;65;0
14359;"Female";25;1;11;1;"< 1 Year";"No";29128;152;172;0
14360;"Male";46;1;15;0;"1-2 Year";"Yes";20347;26;70;1
14361;"Male";76;1;28;0;"1-2 Year";"Yes";31337;26;117;0
14362;"Female";24;1;3;0;"< 1 Year";"Yes";45256;152;248;1
14363;"Male";37;1;50;1;"1-2 Year";"No";2630;124;108;0
14364;"Male";48;0;28;0;"1-2 Year";"No";50526;124;13;0
14365;"Male";50;1;43;0;"1-2 Year";"Yes";49794;26;287;1
14366;"Female";88;1;36;0;"1-2 Year";"Yes";34549;152;165;0
14367;"Male";22;1;34;1;"< 1 Year";"No";2630;124;238;0
14368;"Female";23;1;45;1;"< 1 Year";"No";37240;152;249;0
14369;"Male";89;1;3;0;"< 1 Year";"Yes";2630;152;32;1
14370;"Male";47;1;28;0;"1-2 Year";"Yes";40315;26;152;1
14371;"Male";24;1;4;0;"< 1 Year";"Yes";2630;160;149;1
14372;"Male";47;1;15;0;"1-2 Year";"Yes";29010;26;57;1
14373;"Male";39;1;28;0;"> 2 Years";"Yes";35371;124;71;0
14374;"Male";28;1;35;0;"< 1 Year";"No";2630;157;81;0
14375;"Male";23;1;46;1;"< 1 Year";"No";38004;152;111;0
14376;"Female";42;1;36;0;"1-2 Year";"Yes";31517;157;107;1
14377;"Male";46;1;3;0;"1-2 Year";"No";2630;154;45;1
14378;"Male";21;1;29;1;"< 1 Year";"No";24859;152;194;0
14379;"Male";20;1;35;0;"< 1 Year";"Yes";22866;160;296;0
14380;"Female";28;1;41;1;"< 1 Year";"No";21919;152;150;0
14381;"Female";69;1;28;0;"1-2 Year";"Yes";40552;122;296;0
14382;"Male";41;1;15;0;"1-2 Year";"Yes";28531;124;211;1
14383;"Male";34;1;23;0;"1-2 Year";"Yes";32664;124;94;0
14384;"Male";33;1;19;0;"1-2 Year";"Yes";2630;157;119;0
14385;"Female";27;1;41;0;"< 1 Year";"Yes";62971;152;299;0
14386;"Female";38;1;20;1;"1-2 Year";"Yes";2630;26;224;0
14387;"Male";89;1;39;1;"1-2 Year";"No";2630;26;280;0
14388;"Male";58;1;28;1;"1-2 Year";"Yes";30008;25;188;0
14389;"Female";51;1;7;0;"1-2 Year";"Yes";33972;154;185;1
14390;"Female";49;1;50;0;"1-2 Year";"Yes";2630;124;3904;0
14391;"Male";31;1;41;1;"< 1 Year";"No";52559;152;279;0
14392;"Female";28;1;30;1;"< 1 Year";"No";2630;152;130;0
14393;"Female";23;1;8;0;"< 1 Year";"Yes";38533;152;46;0
14394;"Male";34;1;28;0;"1-2 Year";"Yes";2630;160;21;0
14395;"Male";56;1;36;0;"1-2 Year";"Yes";2630;157;216;1
14396;"Female";22;1;8;1;"< 1 Year";"No";43096;152;87;0
14397;"Male";59;0;20;0;"1-2 Year";"No";2630;124;200;0
14398;"Male";51;1;28;0;"1-2 Year";"Yes";42829;26;244;0
14399;"Male";22;1;8;1;"< 1 Year";"No";67248;152;324;0
14400;"Male";60;1;28;0;"1-2 Year";"Yes";143445;29;35;1
14401;"Male";36;1;18;1;"1-2 Year";"No";33242;156;181;0
14402;"Male";50;1;18;0;"1-2 Year";"Yes";2630;157;98;1
14403;"Female";24;1;50;1;"< 1 Year";"No";42841;152;129;0
14404;"Female";25;1;41;0;"< 1 Year";"Yes";19564;152;255;0
14405;"Female";42;1;28;0;"1-2 Year";"No";74834;26;168;0
14406;"Male";46;1;8;1;"1-2 Year";"No";40875;124;56;0
14407;"Female";22;1;41;0;"< 1 Year";"No";20755;152;122;0
14408;"Male";56;1;28;1;"1-2 Year";"No";25253;26;969;0
14409;"Female";21;1;45;0;"< 1 Year";"Yes";28782;160;142;0
14410;"Female";22;1;30;1;"< 1 Year";"No";32906;152;147;0
14411;"Female";52;1;28;0;"1-2 Year";"Yes";2630;157;68;1
14412;"Male";21;1;10;1;"< 1 Year";"No";30609;160;227;0
14413;"Male";28;1;14;1;"< 1 Year";"No";37389;152;95;0
14414;"Male";55;1;28;1;"1-2 Year";"No";40717;124;22;0
14415;"Male";44;1;32;1;"1-2 Year";"No";23020;124;158;0
14416;"Male";62;1;19;1;"1-2 Year";"No";38462;125;161;0
14417;"Male";25;1;16;1;"< 1 Year";"No";25898;152;163;0
14418;"Female";25;1;41;1;"< 1 Year";"No";26931;152;218;0
14419;"Female";43;1;28;0;"1-2 Year";"Yes";35576;26;132;1
14420;"Male";22;1;16;0;"< 1 Year";"Yes";29757;152;966;1
14421;"Male";55;0;28;0;"> 2 Years";"No";39833;26;231;0
14422;"Female";27;1;32;1;"< 1 Year";"No";28675;152;93;0
14423;"Female";20;1;28;0;"< 1 Year";"Yes";29959;160;288;0
14424;"Female";25;1;29;1;"< 1 Year";"No";22919;152;46;0
14425;"Female";35;1;5;0;"1-2 Year";"Yes";2630;157;241;0
14426;"Male";48;1;6;0;"1-2 Year";"Yes";40355;26;16;1
14427;"Female";45;1;28;0;"1-2 Year";"Yes";57328;55;46;1
14428;"Male";24;1;30;1;"< 1 Year";"No";44443;152;518;0
14429;"Female";29;1;46;1;"1-2 Year";"Yes";24166;157;2384;1
14430;"Female";21;1;46;1;"< 1 Year";"No";26142;152;140;0
14431;"Male";39;1;46;0;"1-2 Year";"Yes";50009;91;164;1
14432;"Female";36;1;28;0;"1-2 Year";"Yes";60592;26;231;1
14433;"Female";22;1;30;1;"< 1 Year";"No";27548;152;103;0
14434;"Male";27;1;28;1;"< 1 Year";"No";43335;152;26;0
14435;"Male";68;1;8;0;"1-2 Year";"Yes";42472;26;256;0
14436;"Male";62;1;50;1;"1-2 Year";"No";49389;8;93;0
14437;"Female";33;1;28;0;"< 1 Year";"Yes";2630;124;157;1
14438;"Female";71;1;36;0;"< 1 Year";"Yes";31978;160;69;0
14439;"Female";33;1;28;0;"< 1 Year";"Yes";43978;124;49;1
14440;"Male";36;0;46;0;"1-2 Year";"No";31329;26;219;0
14441;"Male";23;1;50;0;"< 1 Year";"No";45966;152;21;0
14442;"Male";41;1;29;0;"1-2 Year";"Yes";2630;124;276;1
14443;"Male";31;0;24;0;"1-2 Year";"No";40655;124;229;0
14444;"Male";65;1;35;1;"1-2 Year";"No";44904;26;68;0
14445;"Female";74;0;28;0;"1-2 Year";"Yes";45950;61;84;0
14446;"Male";55;1;28;0;"> 2 Years";"Yes";41196;26;125;0
14447;"Male";74;1;25;0;"1-2 Year";"No";25542;26;169;0
14448;"Male";102;1;28;0;"> 2 Years";"Yes";61357;26;270;0
14449;"Male";33;1;29;0;"1-2 Year";"Yes";33321;124;130;1
14450;"Male";22;1;30;1;"< 1 Year";"No";28316;152;66;0
14451;"Male";40;1;28;0;"1-2 Year";"Yes";101852;26;189;0
14452;"Male";60;1;9;0;"1-2 Year";"Yes";32027;26;240;0
14453;"Female";37;1;28;1;"1-2 Year";"No";41804;122;185;0
14454;"Male";39;1;28;0;"1-2 Year";"Yes";39544;13;212;0
14455;"Female";20;1;46;0;"< 1 Year";"Yes";23615;160;74;0
14456;"Female";50;1;28;0;"1-2 Year";"Yes";45232;26;77;1
14457;"Female";49;1;28;0;"1-2 Year";"Yes";68447;26;2800;1
14458;"Female";41;1;28;0;"1-2 Year";"No";2630;122;276;0
14459;"Male";57;1;47;0;"1-2 Year";"Yes";28630;124;147;0
14460;"Female";24;1;45;1;"< 1 Year";"No";2630;152;45;0
14461;"Male";20;1;6;0;"1-2 Year";"Yes";26562;163;253;1
14462;"Male";35;1;46;0;"1-2 Year";"Yes";27635;26;91;1
14463;"Male";49;1;28;0;"1-2 Year";"Yes";43240;26;62;1
14464;"Male";33;1;38;0;"1-2 Year";"Yes";2630;156;193;0
14465;"Male";115;1;4;0;"1-2 Year";"Yes";25297;124;74;1
14466;"Male";39;1;28;1;"1-2 Year";"No";60320;44;159;0
14467;"Male";30;1;11;0;"< 1 Year";"Yes";18338;124;238;1
14468;"Female";40;1;28;0;"1-2 Year";"Yes";37245;122;51;0
14469;"Female";59;1;11;0;"1-2 Year";"Yes";2630;26;240;0
14470;"Male";21;1;46;1;"< 1 Year";"No";29266;160;185;0
14471;"Male";69;0;28;0;"1-2 Year";"No";52802;26;239;0
14472;"Male";30;1;28;1;"< 1 Year";"No";32039;152;14;0
14473;"Female";21;1;30;1;"< 1 Year";"No";33700;160;296;0
14474;"Male";52;1;24;0;"> 2 Years";"Yes";35092;25;97;0
14475;"Female";51;0;28;0;"1-2 Year";"No";35988;26;255;0
14476;"Female";21;1;11;1;"< 1 Year";"No";41790;160;175;0
14477;"Female";57;1;41;0;"1-2 Year";"Yes";30639;26;68;1
14478;"Male";41;1;28;0;"1-2 Year";"Yes";28290;124;202;0
14479;"Female";42;1;33;0;"> 2 Years";"Yes";40301;124;166;0
14480;"Female";29;1;30;1;"< 1 Year";"No";39276;26;47;0
14481;"Female";49;1;4;0;"1-2 Year";"Yes";27346;154;242;0
14482;"Male";68;1;11;1;"1-2 Year";"No";25020;124;296;0
14483;"Female";53;1;48;1;"1-2 Year";"No";2630;15;27;0
14484;"Male";51;1;31;0;"1-2 Year";"Yes";2630;9;47;0
14485;"Male";65;0;8;0;"1-2 Year";"No";56967;26;233;0
14486;"Female";32;1;32;0;"1-2 Year";"Yes";2630;157;259;1
14487;"Female";37;1;28;0;"1-2 Year";"Yes";38966;124;269;0
14488;"Female";25;1;23;0;"< 1 Year";"Yes";27926;124;50;0
14489;"Male";23;1;28;0;"< 1 Year";"Yes";2630;124;126;1
14490;"Male";27;1;46;1;"< 1 Year";"No";31910;152;64;0
14491;"Male";32;1;28;0;"< 1 Year";"Yes";38851;163;295;0
14492;"Male";50;1;13;0;"1-2 Year";"Yes";43272;26;103;0
14493;"Female";55;1;39;0;"1-2 Year";"Yes";2630;124;89;1
14494;"Male";29;1;30;1;"< 1 Year";"No";26463;152;111;0
14495;"Male";46;1;28;0;"1-2 Year";"Yes";50204;30;185;1
14496;"Female";28;1;3;1;"< 1 Year";"No";17124;152;59;0
14497;"Male";38;1;28;0;"1-2 Year";"No";52490;124;116;0
14498;"Male";50;1;30;0;"1-2 Year";"Yes";24598;13;71;1
14499;"Male";46;1;7;0;"1-2 Year";"Yes";2630;124;72;1
14500;"Female";39;1;28;0;"1-2 Year";"Yes";48126;124;299;1
14501;"Female";73;1;28;0;"1-2 Year";"Yes";46043;122;102;1
14502;"Male";31;1;15;1;"< 1 Year";"No";46645;152;64;0
14503;"Male";70;1;29;1;"< 1 Year";"No";22913;152;87;0
14504;"Male";43;1;46;0;"1-2 Year";"Yes";31690;154;214;1
14505;"Male";49;1;3;0;"1-2 Year";"Yes";14463;26;205;0
14506;"Male";26;1;9;0;"< 1 Year";"Yes";42185;124;172;0
14507;"Female";45;1;48;0;"1-2 Year";"Yes";2630;15;175;0
14508;"Male";56;1;28;0;"1-2 Year";"Yes";54410;26;1176;0
14509;"Female";56;1;28;0;"1-2 Year";"Yes";47731;122;148;0
14510;"Female";22;1;10;1;"< 1 Year";"No";24541;160;110;0
14511;"Male";32;1;12;1;"< 1 Year";"No";2630;160;223;0
14512;"Male";45;1;8;0;"1-2 Year";"Yes";34076;30;199;1
14513;"Male";47;1;46;1;"1-2 Year";"No";42661;124;30;0
14514;"Male";49;1;28;0;"1-2 Year";"Yes";45043;26;16;1
14515;"Female";46;1;28;0;"1-2 Year";"No";2630;26;17;1
14516;"Male";83;1;28;0;"< 1 Year";"Yes";2630;156;61;0
14517;"Male";44;1;45;0;"1-2 Year";"Yes";42018;124;248;1
14518;"Male";21;1;28;0;"< 1 Year";"Yes";34732;152;49;0
14519;"Female";48;1;28;0;"1-2 Year";"Yes";27331;122;65;1
14520;"Male";54;1;28;0;"1-2 Year";"Yes";42536;157;243;0
14521;"Male";64;1;11;1;"1-2 Year";"Yes";33035;26;98;0
14522;"Male";23;1;28;0;"< 1 Year";"Yes";42755;154;169;0
14523;"Female";26;1;50;1;"< 1 Year";"No";39582;152;136;0
14524;"Female";21;1;28;0;"< 1 Year";"Yes";33660;152;131;0
14525;"Male";70;1;28;0;"1-2 Year";"Yes";52926;124;70;0
14526;"Female";51;1;50;0;"1-2 Year";"Yes";35457;152;277;0
14527;"Male";26;1;14;1;"< 1 Year";"No";14720;152;18;0
14528;"Female";31;1;19;0;"1-2 Year";"Yes";38393;26;1278;0
14529;"Male";38;1;8;0;"1-2 Year";"Yes";43829;124;133;0
14530;"Male";21;1;11;1;"< 1 Year";"No";41872;152;297;0
14531;"Male";23;1;30;1;"< 1 Year";"No";43126;152;187;0
14532;"Male";22;1;7;1;"< 1 Year";"No";2630;160;68;0
14533;"Female";67;1;24;0;"1-2 Year";"Yes";42525;26;178;0
14534;"Female";57;1;28;0;"1-2 Year";"Yes";29205;26;43;1
14535;"Male";23;1;36;0;"< 1 Year";"Yes";34542;152;116;0
14536;"Male";35;1;28;0;"1-2 Year";"Yes";30316;124;36;1
14537;"Male";57;1;13;0;"1-2 Year";"Yes";20269;3;158;1
14538;"Female";22;1;6;1;"< 1 Year";"No";29203;152;108;0
14539;"Female";46;1;33;0;"1-2 Year";"Yes";30948;26;35;0
14540;"Male";43;1;28;0;"1-2 Year";"Yes";46344;26;43;1
14541;"Female";73;1;24;1;"1-2 Year";"No";26999;26;23;0
14542;"Male";24;1;41;1;"< 1 Year";"No";20536;152;88;0
14543;"Female";32;1;28;0;"1-2 Year";"Yes";41076;124;242;1
14544;"Male";72;1;28;0;"1-2 Year";"Yes";59404;26;35;0
14545;"Female";26;1;41;0;"< 1 Year";"Yes";29497;152;177;0
14546;"Female";37;1;48;0;"1-2 Year";"Yes";2630;124;151;1
14547;"Male";60;1;28;0;"1-2 Year";"Yes";39246;26;103;1
14548;"Male";23;1;10;0;"< 1 Year";"Yes";26761;151;161;0
14549;"Male";24;1;36;1;"< 1 Year";"No";2630;152;95;0
14550;"Male";60;1;28;0;"> 2 Years";"Yes";64961;26;209;1
14551;"Female";76;1;41;1;"1-2 Year";"No";30452;26;46;0
14552;"Female";26;1;45;1;"< 1 Year";"No";36641;152;149;0
14553;"Female";59;1;8;1;"1-2 Year";"No";45686;7;171;0
14554;"Male";27;1;36;1;"< 1 Year";"No";48046;152;265;0
14555;"Male";22;1;6;1;"< 1 Year";"No";20088;152;41;0
14556;"Male";23;1;37;0;"< 1 Year";"Yes";28055;152;97;0
14557;"Male";23;1;16;0;"< 1 Year";"Yes";32711;152;26;0
14558;"Male";75;1;6;1;"< 1 Year";"No";26435;152;166;0
14559;"Male";69;1;42;1;"1-2 Year";"No";44357;26;1400;0
14560;"Male";45;1;28;0;"1-2 Year";"Yes";2630;26;82;1
14561;"Male";30;1;5;0;"< 1 Year";"Yes";2630;156;1240;0
14562;"Female";42;1;33;0;"1-2 Year";"Yes";31648;124;220;1
14563;"Male";32;1;41;0;"1-2 Year";"Yes";49494;26;72;0
14564;"Female";48;1;28;0;"1-2 Year";"Yes";59607;26;460;0
14565;"Male";53;1;38;1;"< 1 Year";"No";2630;1;58;0
14566;"Female";59;1;47;0;"1-2 Year";"Yes";32437;26;82;1
14567;"Male";55;1;28;0;"1-2 Year";"Yes";34647;26;51;1
14568;"Male";25;1;28;1;"< 1 Year";"No";43543;152;239;0
14569;"Female";74;1;28;1;"1-2 Year";"No";48551;122;1464;0
14570;"Male";31;1;28;0;"< 1 Year";"Yes";38601;154;265;1
14571;"Male";24;0;28;0;"< 1 Year";"No";34300;152;270;0
14572;"Male";41;1;35;0;"1-2 Year";"Yes";2630;152;243;0
14573;"Male";20;1;7;0;"< 1 Year";"Yes";37302;160;65;0
14574;"Male";66;1;28;0;"1-2 Year";"Yes";56581;26;192;0
14575;"Female";68;1;8;1;"< 1 Year";"No";54370;152;135;0
14576;"Male";68;1;28;1;"1-2 Year";"No";2630;122;61;0
14577;"Male";39;1;41;0;"1-2 Year";"Yes";2630;157;272;0
14578;"Male";75;1;41;0;"1-2 Year";"Yes";33254;26;260;1
14579;"Male";24;1;2;1;"< 1 Year";"No";23860;152;258;0
14580;"Female";45;1;28;1;"1-2 Year";"Yes";2630;26;140;0
14581;"Male";54;1;8;0;"1-2 Year";"No";41617;26;146;0
14582;"Female";25;1;47;1;"< 1 Year";"No";32592;26;275;0
14583;"Female";28;1;8;1;"< 1 Year";"No";41961;152;228;0
14584;"Male";26;1;3;1;"< 1 Year";"No";37289;152;244;0
14585;"Female";57;1;13;0;"1-2 Year";"Yes";20536;26;220;1
14586;"Female";42;1;28;0;"1-2 Year";"No";48490;122;206;0
14587;"Female";41;1;28;1;"1-2 Year";"No";84178;26;124;0
14588;"Female";24;1;11;1;"< 1 Year";"No";43475;152;17;0
14589;"Female";28;1;45;1;"< 1 Year";"No";25214;152;287;0
14590;"Female";29;1;27;0;"< 1 Year";"No";2630;1;92;0
14591;"Male";71;1;28;0;"1-2 Year";"Yes";45420;122;241;0
14592;"Male";41;1;41;0;"1-2 Year";"Yes";22347;163;71;1
14593;"Male";49;0;28;0;"1-2 Year";"No";23407;26;138;0
14594;"Male";42;1;28;0;"1-2 Year";"Yes";40939;122;193;1
14595;"Male";48;1;8;0;"1-2 Year";"Yes";45337;26;167;1
14596;"Female";25;1;37;1;"< 1 Year";"No";36262;152;283;0
14597;"Male";25;1;29;0;"1-2 Year";"Yes";26523;124;128;1
14598;"Male";52;1;28;0;"> 2 Years";"Yes";43112;122;258;0
14599;"Female";71;1;28;0;"1-2 Year";"Yes";46787;26;151;1
14600;"Female";43;1;39;1;"> 2 Years";"Yes";29285;26;233;0
14601;"Male";41;1;28;0;"1-2 Year";"Yes";21393;26;186;1
14602;"Female";63;1;29;0;"1-2 Year";"Yes";43772;26;129;0
14603;"Female";79;1;13;0;"< 1 Year";"No";2630;152;216;1
14604;"Female";93;1;28;0;"> 2 Years";"Yes";41566;124;48;1
14605;"Male";55;1;46;0;"1-2 Year";"Yes";31997;152;202;0
14606;"Male";40;1;46;0;"1-2 Year";"Yes";2630;157;101;0
14607;"Male";96;1;28;0;"1-2 Year";"Yes";37509;124;266;0
14608;"Male";24;1;41;1;"< 1 Year";"No";29477;152;37;0
14609;"Female";44;1;28;1;"1-2 Year";"No";26820;25;211;0
14610;"Female";25;1;29;1;"< 1 Year";"No";32325;152;222;0
14611;"Female";25;1;46;1;"< 1 Year";"No";22184;152;14;0
14612;"Female";34;1;13;0;"1-2 Year";"Yes";2630;156;2505;1
14613;"Female";35;0;46;0;"1-2 Year";"No";29974;124;11;0
14614;"Male";49;1;28;0;"> 2 Years";"Yes";42446;124;119;0
14615;"Female";56;1;48;0;"1-2 Year";"Yes";2630;124;258;0
14616;"Male";31;1;18;0;"< 1 Year";"Yes";45448;124;136;1
14617;"Female";47;1;28;0;"1-2 Year";"Yes";20902;124;248;1
14618;"Male";54;1;28;0;"1-2 Year";"Yes";39672;26;290;1
14619;"Female";31;1;33;1;"1-2 Year";"No";33228;31;111;0
14620;"Male";24;0;13;0;"< 1 Year";"No";26945;152;94;0
14621;"Male";49;1;28;0;"1-2 Year";"Yes";48114;25;40;1
14622;"Male";35;0;28;0;"1-2 Year";"No";56488;124;291;0
14623;"Male";60;1;28;1;"1-2 Year";"No";42934;152;38;0
14624;"Female";43;1;28;0;"1-2 Year";"Yes";29850;124;271;0
14625;"Male";62;1;41;0;"1-2 Year";"Yes";45422;124;112;1
14626;"Male";51;1;28;0;"1-2 Year";"Yes";39751;26;54;1
14627;"Female";21;1;6;1;"< 1 Year";"No";26388;152;283;0
14628;"Male";24;1;28;0;"1-2 Year";"Yes";38254;26;145;0
14629;"Female";23;1;28;1;"< 1 Year";"No";56388;152;225;0
14630;"Female";25;1;23;1;"< 1 Year";"No";2630;152;4736;0
14631;"Female";76;1;28;0;"< 1 Year";"Yes";30965;152;143;1
14632;"Male";107;1;28;0;"1-2 Year";"Yes";52825;124;142;0
14633;"Male";57;1;22;0;"1-2 Year";"Yes";30202;26;207;1
14634;"Male";53;1;28;0;"1-2 Year";"Yes";2630;26;244;1
14635;"Male";98;1;15;0;"1-2 Year";"Yes";63933;26;40;1
14636;"Male";78;0;28;0;"1-2 Year";"No";70863;26;211;0
14637;"Female";65;1;41;1;"1-2 Year";"No";33160;106;174;0
14638;"Male";65;1;31;0;"1-2 Year";"Yes";2630;9;4275;1
14639;"Male";23;1;28;0;"< 1 Year";"Yes";49153;124;86;0
14640;"Male";42;1;15;0;"1-2 Year";"Yes";2630;152;248;0
